City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,Lompoc,34.6391,-120.4579,57.56,84,90,11.01,US,2021-12-09 18:50:46
203,Toora-Khem,52.4675,96.11,-2.29,98,100,1.59,RU,2021-12-09 18:52:53
204,Paramirim,-13.4425,-42.2389,75.29,83,100,2.89,BR,2021-12-09 18:52:54
205,Westport,41.1415,-73.3579,39.33,58,1,3.0,US,2021-12-09 18:48:08
206,West Odessa,31.8424,-102.4988,74.41,16,1,23.02,US,2021-12-09 18:52:54
207,Vila Franca Do Campo,37.7167,-25.4333,63.19,68,36,1.32,PT,2021-12-09 18:52:54
208,Marystown,47.1666,-55.1483,35.85,100,100,8.99,CA,2021-12-09 18:52:55
209,Along,28.1667,94.7667,56.19,76,100,1.66,IN,2021-12-09 18:52:55
210,Jiuquan,39.7432,98.5174,30.18,47,28,10.2,CN,2021-12-09 18:52:55
211,Golden,39.7555,-105.2211,59.56,39,99,10.0,US,2021-12-09 18:52:14
212,Pisco,-13.7,-76.2167,70.02,77,100,10.36,PE,2021-12-09 18:52:56
213,Hofn,64.2539,-15.2082,37.2,93,100,16.8,IS,2021-12-09 18:52:56
214,Payo,-3.7508,103.6372,73.33,100,100,1.86,ID,2021-12-09 18:52:56
215,Bayan,46.0833,127.4,33.39,85,100,10.36,CN,2021-12-09 18:52:56
216,Ullapool,57.8987,-5.1604,39.76,93,93,10.4,GB,2021-12-09 18:52:57
217,Camacha,33.0833,-16.3333,62.02,68,75,11.5,PT,2021-12-09 18:52:57
218,Victoria,22.2855,114.1577,67.98,84,0,4.0,HK,2021-12-09 18:51:21
219,Yumen,40.2833,97.2,28.71,44,100,11.88,CN,2021-12-09 18:52:57
220,San Severo,41.6897,15.376,49.42,71,100,6.67,IT,2021-12-09 18:49:05
221,Bitkine,11.9801,18.2138,80.82,18,0,5.1,TD,2021-12-09 18:52:58
222,Kortkeros,61.8106,51.5806,-0.89,100,72,4.0,RU,2021-12-09 18:52:58
223,Nikolskoye,59.7035,30.7861,1.29,100,68,3.31,RU,2021-12-09 18:52:58
224,Shakawe,-18.3667,21.85,77.05,55,100,2.59,BW,2021-12-09 18:52:59
225,Gbongan,7.4667,4.35,79.16,36,4,2.37,NG,2021-12-09 18:53:59
226,Barra Dos Coqueiros,-10.9089,-37.0386,84.22,74,40,14.97,BR,2021-12-09 18:53:59
227,Xining,36.6167,101.7667,27.5,66,100,2.53,CN,2021-12-09 18:54:00
228,Amapa,1.0,-52.0,82.02,83,100,3.53,BR,2021-12-09 18:54:00
229,Chadiza,-14.0678,32.4392,73.62,47,0,5.95,ZM,2021-12-09 18:54:00
230,Melo,-32.3667,-54.1833,79.25,41,1,15.73,UY,2021-12-09 18:54:01
231,Anadyr,64.75,177.4833,-5.01,76,75,4.0,RU,2021-12-09 18:54:01
232,Fountain Hills,33.6117,-111.7174,70.66,38,40,7.0,US,2021-12-09 18:50:52
233,Joao Camara,-5.5375,-35.8197,85.24,44,99,16.15,BR,2021-12-09 18:54:01
234,Palmer,42.1584,-72.3287,35.47,57,100,3.0,US,2021-12-09 18:54:02
235,Yenagoa,4.9247,6.2642,79.93,75,5,5.99,NG,2021-12-09 18:54:02
236,Yaqui,27.3667,-110.1667,80.96,24,26,10.74,MX,2021-12-09 18:54:02
237,Kassala,15.451,36.4,78.19,51,0,14.27,SD,2021-12-09 18:54:02
238,Illapel,-31.6308,-71.1653,81.55,34,0,10.4,CL,2021-12-09 18:54:03
239,Szczytno,53.5626,20.9875,24.73,93,90,8.05,PL,2021-12-09 18:54:03
240,Champerico,14.3,-91.9167,89.76,66,8,10.22,GT,2021-12-09 18:54:03
241,Van Buren,35.4368,-94.3483,71.37,63,20,1.99,US,2021-12-09 18:49:35
242,Nemuro,43.3236,145.575,38.79,69,2,7.36,JP,2021-12-09 18:54:04
243,Korla,41.7597,86.1469,30.27,60,98,14.25,CN,2021-12-09 18:54:04
244,Zemio,5.0314,25.1361,76.96,34,0,2.8,CF,2021-12-09 18:54:04
245,Ulaanbaatar,47.9077,106.8832,-0.27,85,40,4.47,MN,2021-12-09 18:54:05
246,Sur,22.5667,59.5289,72.7,46,0,7.83,OM,2021-12-09 18:54:05
247,Faya,18.3851,42.4509,57.31,16,34,4.59,SA,2021-12-09 18:54:05
248,Woodward,36.4337,-99.3904,72.97,20,1,4.61,US,2021-12-09 18:54:05
249,Taoudenni,22.6783,-3.9836,69.26,10,100,10.58,ML,2021-12-09 18:54:06
250,Saint George,37.1041,-113.5841,54.19,76,90,4.0,US,2021-12-09 18:54:06
251,Praia,14.9215,-23.5087,77.54,69,20,19.57,CV,2021-12-09 18:54:06
252,Dali,25.7,100.1833,46.69,86,0,5.06,CN,2021-12-09 18:54:07
253,Tasiilaq,65.6145,-37.6368,23.77,67,100,3.02,GL,2021-12-09 18:54:07
254,Egvekinot,66.3167,-179.1667,-11.42,85,100,12.15,RU,2021-12-09 18:54:07
255,Bubaque,11.2833,-15.8333,82.06,68,5,10.83,GW,2021-12-09 18:54:08
256,Socorro,31.6546,-106.3033,67.32,27,100,13.94,US,2021-12-09 18:54:08
257,Linxia,35.6003,103.2064,30.97,67,100,2.46,CN,2021-12-09 18:54:08
258,Cidreira,-30.1811,-50.2056,70.9,66,9,13.53,BR,2021-12-09 18:54:09
259,Saint-Philippe,-21.3585,55.7679,76.59,80,49,11.07,RE,2021-12-09 18:54:09
260,Flinders,-34.5833,150.8552,61.18,95,49,6.53,AU,2021-12-09 18:54:10
261,Arman,59.7,150.1667,-9.02,71,100,5.95,RU,2021-12-09 18:54:10
262,Ihosy,-22.4,46.1167,71.02,81,100,5.64,MG,2021-12-09 18:54:10
263,Santa Cruz De La Palma,28.6835,-17.7642,67.14,94,75,16.11,ES,2021-12-09 18:54:11
264,Los Llanos De Aridane,28.6585,-17.9182,63.12,77,75,3.0,ES,2021-12-09 18:54:11
265,Mar Del Plata,-38.0023,-57.5575,71.62,90,75,25.99,AR,2021-12-09 18:54:11
266,Naze,28.3667,129.4833,63.36,56,100,4.47,JP,2021-12-09 18:54:11
267,Te Anau,-45.4167,167.7167,51.12,89,55,0.63,NZ,2021-12-09 18:54:12
268,Itaituba,-4.2761,-55.9836,77.16,94,75,11.5,BR,2021-12-09 18:54:12
269,Atar,20.5169,-13.0499,77.05,14,100,18.41,MR,2021-12-09 18:54:12
270,Santa Rosa De Aguan,15.95,-85.7167,86.02,70,100,14.85,HN,2021-12-09 18:54:13
271,Syracuse,37.0881,15.2792,53.19,68,100,21.79,IT,2021-12-09 18:54:13
272,Goderich,43.7501,-81.7165,30.9,69,100,12.66,CA,2021-12-09 18:55:13
273,Sao Joao Da Barra,-21.6403,-41.0511,82.49,75,50,14.41,BR,2021-12-09 18:55:14
274,Acapulco,16.8634,-99.8901,85.26,64,9,7.36,MX,2021-12-09 18:50:40
275,Zeya,53.75,127.2667,6.98,93,100,3.49,RU,2021-12-09 18:55:14
276,Lorengau,-2.0226,147.2712,81.73,78,91,19.1,PG,2021-12-09 18:55:14
277,Ormara,25.2088,64.6357,72.84,52,100,5.39,PK,2021-12-09 18:55:15
278,Ahipara,-35.1667,173.1667,65.44,79,76,3.4,NZ,2021-12-09 18:55:15
279,Sibolga,1.7427,98.7792,76.69,91,100,0.92,ID,2021-12-09 18:55:15
280,Iquitos,-3.7481,-73.2472,89.64,62,75,9.22,PE,2021-12-09 18:55:15
281,Kloulklubed,7.0419,134.2556,82.98,76,100,8.84,PW,2021-12-09 18:55:16
282,Hamilton,39.1834,-84.5333,52.99,54,100,4.0,US,2021-12-09 18:55:16
283,Vardo,70.3705,31.1107,16.0,85,79,26.96,NO,2021-12-09 18:55:16
284,Heishan,41.6892,122.1128,36.18,86,6,4.68,CN,2021-12-09 18:55:17
285,Idlib,35.9306,36.6339,50.97,84,0,4.72,SY,2021-12-09 18:55:17
286,Peniche,39.3558,-9.3811,58.62,82,100,13.24,PT,2021-12-09 18:55:17
287,Mortka,59.3322,66.0214,20.79,95,100,6.82,RU,2021-12-09 18:55:17
288,Vanimo,-2.6741,141.3028,78.58,88,100,4.97,PG,2021-12-09 18:55:18
289,Ilulissat,69.2167,-51.1,8.71,68,46,8.03,GL,2021-12-09 18:55:18
290,Kutum,14.2,24.6667,65.93,15,0,8.25,SD,2021-12-09 18:55:18
291,Prikubanskiy,45.0015,41.1795,45.5,87,100,3.49,RU,2021-12-09 18:55:19
292,Hailar,49.2,119.7,12.54,86,100,6.71,CN,2021-12-09 18:55:19
293,Codrington,-38.2667,141.9667,52.5,83,69,11.23,AU,2021-12-09 18:55:19
