City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Mulchen,CL,-37.7167,-72.2333,69.82,26,97,5.5,overcast clouds
206,Grand Gaube,MU,-20.0064,57.6608,77.38,66,100,4.0,overcast clouds
207,Pevek,RU,69.7008,170.3133,-33.63,96,20,0.63,few clouds
208,Sungairaya,ID,0.7,108.9,78.08,88,100,5.17,overcast clouds
209,Te Anau,NZ,-45.4167,167.7167,50.4,83,65,0.49,broken clouds
210,Gushikawa,JP,26.3544,127.8686,67.62,71,90,14.97,overcast clouds
211,Hay River,CA,60.8156,-115.7999,-1.23,93,58,10.29,broken clouds
212,Hambantota,LK,6.1241,81.1185,73.74,100,20,3.44,few clouds
213,Khandyga,RU,62.6667,135.6,-40.58,100,80,1.48,broken clouds
214,Luce,FR,48.4369,1.4636,50.0,97,100,4.0,overcast clouds
215,Kavaratti,IN,10.5669,72.642,81.59,73,62,1.7,broken clouds
216,Ancud,CL,-41.8697,-73.8203,62.42,65,53,12.24,broken clouds
217,Novi Di Modena,IT,44.8905,10.9014,41.63,81,35,5.06,scattered clouds
218,Limoeiro Do Ajuru,BR,-1.8953,-49.3806,88.3,58,89,3.87,overcast clouds
219,Kailua,US,21.4022,-157.7394,78.78,59,96,19.75,overcast clouds
220,Luanda,AO,-8.8368,13.2343,82.4,78,40,4.61,scattered clouds
221,Harnosand,SE,62.6323,17.9379,30.99,85,100,13.62,overcast clouds
222,Isangel,VU,-19.55,169.2667,80.31,87,99,8.3,moderate rain
223,Berlevag,NO,70.8578,29.0864,26.4,91,100,14.52,overcast clouds
224,Kruisfontein,ZA,-34.0033,24.7314,69.89,85,100,10.74,overcast clouds
225,Qui Nhon,VN,13.7667,109.2333,72.37,86,41,18.88,scattered clouds
226,Acapulco,MX,16.8634,-99.8901,85.82,70,1,3.44,clear sky
227,Gorele,TR,41.0308,39.0031,54.84,48,3,9.33,clear sky
228,Yulara,AU,-25.2406,130.9889,78.35,44,100,9.19,overcast clouds
229,Ipixuna,BR,-1.7625,-48.8043,82.35,71,100,4.56,overcast clouds
230,Pontal Do Parana,BR,-25.6533,-48.5128,84.2,88,100,4.45,overcast clouds
231,Toucheng,TW,24.8592,121.8233,66.45,87,100,11.61,overcast clouds
232,Thunder Bay,CA,48.4001,-89.3168,39.56,70,0,1.01,clear sky
233,Zemaiciu Naumiestis,LT,55.3592,21.7022,28.06,98,95,6.38,overcast clouds
234,Warrington,GB,53.3925,-2.5802,54.86,88,20,1.99,few clouds
235,Havoysund,NO,70.9963,24.6622,31.08,96,100,12.1,light snow
236,Kutum,SD,14.2,24.6667,70.7,20,67,7.29,broken clouds
237,Ayr,GB,55.4627,-4.6339,54.48,87,75,21.85,broken clouds
238,Thenzawl,IN,23.3167,92.75,49.84,74,0,2.98,clear sky
239,Sitka,US,57.0531,-135.33,33.69,80,90,9.22,light snow
240,Alamos,MX,27.0167,-108.9333,78.91,29,5,5.06,clear sky
241,Caldas Da Rainha,PT,39.4033,-9.1384,64.02,82,6,5.99,clear sky
242,Shelburne,CA,44.0787,-80.2041,40.68,77,0,19.98,clear sky
243,Dickinson,US,29.4608,-95.0513,61.16,64,1,1.99,clear sky
244,Emerald,AU,-23.5333,148.1667,73.98,57,0,9.06,clear sky
245,Makaryev,RU,57.8797,43.8069,13.08,93,81,6.4,broken clouds
246,Placido De Castro,BR,-10.3353,-67.1856,85.46,71,31,6.73,scattered clouds
247,Hasaki,JP,35.7333,140.8333,45.0,63,11,15.26,few clouds
248,Asau,RO,46.4333,26.4,40.95,84,100,3.62,light rain
249,Mahibadhoo,MV,3.7833,72.9667,81.68,76,99,10.42,overcast clouds
250,Marawi,PH,7.9986,124.2928,67.64,96,100,1.72,overcast clouds
251,Shimoda,JP,34.6667,138.95,53.1,62,1,27.02,clear sky
252,Jumla,NP,29.2747,82.1838,37.4,40,74,5.08,broken clouds
253,Faanui,PF,-16.4833,-151.75,80.51,73,100,9.86,light rain
254,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,68,100,21.16,overcast clouds
255,Anadyr,RU,64.75,177.4833,-38.88,96,27,0.85,scattered clouds
256,Saint-Pierre,RE,-21.3393,55.4781,78.48,68,0,16.11,clear sky
257,Soc Trang,VN,9.6033,105.98,75.16,90,100,2.55,overcast clouds
258,Praia,CV,14.9215,-23.5087,75.74,69,97,11.5,overcast clouds
259,Muros,ES,42.7762,-9.0603,56.84,93,94,4.38,overcast clouds
260,Matanzas,CU,23.0411,-81.5775,83.16,69,75,9.22,broken clouds
261,Maceio,BR,-9.6658,-35.7353,87.24,62,40,16.11,scattered clouds
262,Pangai,TO,-19.8,-174.35,80.71,74,20,11.5,light rain
263,Coos Bay,US,43.3665,-124.2179,48.85,88,40,14.97,scattered clouds
264,Torbay,CA,47.6666,-52.7314,57.67,92,100,35.97,light rain
265,Zalesovo,RU,53.9939,84.7431,-11.97,100,61,1.92,broken clouds
266,Batticaloa,LK,7.7102,81.6924,79.11,84,100,10.16,light rain
267,Odweyne,SO,9.4092,45.064,66.7,60,0,8.66,clear sky
268,Buenos Aires,AR,-34.6132,-58.3772,80.28,64,0,9.22,clear sky
269,Gigmoto,PH,13.7796,124.39,78.87,87,86,17.09,overcast clouds
270,Pacific Grove,US,36.6177,-121.9166,55.51,68,90,1.99,overcast clouds
271,High Level,CA,58.5169,-117.136,-4.14,91,100,5.53,overcast clouds
272,Litovko,RU,49.2361,135.1742,10.96,95,91,6.17,overcast clouds
273,Nanortalik,GL,60.1432,-45.2371,21.72,79,19,8.81,few clouds
274,Bubaque,GW,11.2833,-15.8333,81.57,74,16,13.76,few clouds
275,Sanger,US,36.708,-119.556,62.08,70,75,3.0,broken clouds
276,Senanga,ZM,-16.1167,23.2667,80.87,45,100,10.71,overcast clouds
277,Gat,IL,31.61,34.7642,69.91,40,100,1.48,overcast clouds
278,Prata,BR,-19.3072,-48.9242,86.72,52,92,2.93,overcast clouds
279,Dicabisagan,PH,17.0818,122.4157,74.64,87,100,10.67,overcast clouds
280,Kirakira,SB,-10.4544,161.9205,81.46,85,98,12.8,overcast clouds
281,Heihe,CN,50.2441,127.4902,-3.6,85,11,5.32,few clouds
282,Tres Passos,BR,-27.4556,-53.9319,76.59,32,59,4.47,broken clouds
283,Huarmey,PE,-10.0681,-78.1522,73.63,71,66,11.72,broken clouds
284,Baturite,BR,-4.3286,-38.8847,92.73,35,89,9.75,overcast clouds
285,Bonthe,SL,7.5264,-12.505,80.89,79,12,7.85,few clouds
286,Atar,MR,20.5169,-13.0499,77.72,12,88,8.55,overcast clouds
287,Aklavik,CA,68.2191,-135.0107,-2.72,90,100,22.75,overcast clouds
288,Matamoros,MX,25.5333,-103.25,68.11,33,75,8.05,broken clouds
289,Saint George,US,37.1041,-113.5841,57.67,41,1,1.99,clear sky
290,Umm Lajj,SA,25.0213,37.2685,77.45,44,100,2.21,overcast clouds
291,Macapa,BR,0.0389,-51.0664,93.18,55,20,14.97,few clouds
292,Jessheim,NO,60.1415,11.1752,33.91,98,90,6.91,fog
293,Soe,ID,-9.8607,124.284,67.17,92,83,2.26,broken clouds
294,Misratah,LY,32.3754,15.0925,59.81,55,82,13.13,broken clouds
295,Majene,ID,-3.5403,118.9707,77.76,86,67,5.48,broken clouds
296,Realeza,BR,-25.7689,-53.5325,85.46,33,100,4.25,overcast clouds
297,Sisimiut,GL,66.9395,-53.6735,16.59,89,88,7.65,overcast clouds
298,Namatanai,PG,-3.6667,152.4333,79.2,84,100,1.77,light rain
299,Sorland,NO,67.667,12.6934,39.06,68,93,14.76,overcast clouds
300,Poronaysk,RU,49.2167,143.1167,22.73,94,100,17.25,light snow
301,Plettenberg Bay,ZA,-34.0527,23.3716,65.82,86,100,4.54,overcast clouds
302,Tonk,IN,26.1667,75.7833,59.22,48,3,7.34,clear sky
303,Hinton,CA,53.4001,-117.5857,22.1,77,100,3.96,overcast clouds
304,Leh,IN,34.1667,77.5833,10.27,60,89,1.74,overcast clouds
305,Ust-Ishim,RU,57.6935,71.1665,12.38,94,99,6.96,overcast clouds
306,Byron Bay,AU,-28.65,153.6167,69.06,84,89,7.99,overcast clouds
307,Bundibugyo,UG,0.7414,30.0417,75.31,56,100,3.11,overcast clouds
308,Sabang,ID,5.8933,95.3214,82.0,70,4,16.13,clear sky
309,Nelson Bay,AU,-32.7167,152.15,62.01,85,98,1.01,overcast clouds
310,Cervo,ES,43.6702,-7.4101,54.52,82,97,2.68,overcast clouds
311,Husavik,IS,66.0449,-17.3389,35.1,78,100,18.28,overcast clouds
312,Mariinsk,RU,56.2139,87.7472,-3.05,98,94,5.28,overcast clouds
313,Saint Anthony,US,45.0205,-93.218,38.35,57,1,3.0,clear sky
314,Makakilo City,US,21.3469,-158.0858,77.32,75,75,6.91,broken clouds
315,Kovdor,RU,67.5662,30.4758,10.81,98,83,4.36,broken clouds
316,Tuy Hoa,VN,13.0833,109.3,72.01,89,96,15.9,overcast clouds
317,Uchaly,RU,54.2996,59.4521,8.29,87,14,4.7,few clouds
318,Mogadishu,SO,2.0371,45.3438,79.65,84,96,20.38,overcast clouds
319,Natitingou,BJ,10.3042,1.3796,80.96,19,29,6.22,scattered clouds
320,Ziarat,PK,30.3823,67.7282,32.65,24,0,5.17,clear sky
321,Jatai,BR,-17.8814,-51.7144,83.46,58,100,8.57,overcast clouds
322,Chumikan,RU,54.7183,135.315,7.77,91,100,8.59,overcast clouds
323,Balkhash,KZ,46.844,74.9804,28.53,96,100,3.09,light snow
324,Hegang,CN,47.4,130.3667,1.67,80,1,8.52,clear sky
325,Tara,RU,56.8944,74.371,12.85,94,100,6.08,overcast clouds
326,Kiama,AU,-34.6833,150.8667,61.0,89,56,1.01,broken clouds
327,Enshi,CN,30.3,109.4833,46.4,94,100,1.63,overcast clouds
328,Jalu,LY,29.0331,21.5482,58.17,32,6,6.38,clear sky
329,Havelock,US,34.8791,-76.9013,58.98,58,0,5.01,clear sky
330,Kaputa,ZM,-8.4689,29.6619,70.23,84,64,6.4,broken clouds
331,Fukue,JP,32.6881,128.8419,47.28,69,58,29.12,broken clouds
332,Mahbubnagar,IN,16.7333,77.9833,70.79,62,97,5.95,overcast clouds
333,Paka,MY,4.6374,103.4368,76.06,88,54,8.43,broken clouds
334,Eureka,US,40.8021,-124.1637,50.94,95,100,5.01,overcast clouds
335,Saint-Augustin,CA,51.226,-58.6502,35.19,78,100,24.2,overcast clouds
336,Norman Wells,CA,65.282,-126.8329,-3.06,93,100,14.03,overcast clouds
337,Talakan,RU,50.3167,130.3667,-6.7,99,75,5.5,broken clouds
338,Straumen,NO,63.8709,11.2999,36.63,93,100,3.96,overcast clouds
339,San Cristobal,VE,7.7669,-72.225,78.98,39,100,4.81,overcast clouds
340,Tromso,NO,69.6496,18.957,32.38,86,75,1.01,light snow
341,Klaksvik,FO,62.2266,-6.589,43.72,72,100,18.63,overcast clouds
342,Broome,US,42.2506,-75.833,46.06,47,1,3.0,clear sky
343,Taltal,CL,-25.4,-70.4833,65.68,71,26,7.14,scattered clouds
344,Esperance,AU,-33.8667,121.9,54.7,62,84,5.21,broken clouds
